Rating,Users,Field,Action,Developer,Description
5.0,5 users,Arts & lifestyle,Swami vivekananda quotes,,"Swami Vivekananda Quotes will help you to listen the famous quote by Swami Vivekananda. He was an Indian Hindu monk, a chief disciple of the 19th-century Indian mystic Ramakrishna. The motive of this app is to motivate people."
4.0,7 users,Arts & lifestyle,Anime Quotes,,Loaded with thousands of anime quotes.
4.5,334 users,Arts & lifestyle,Bible Verse of the Day,Peter Friese,"This app shows the verse of the day from the Bible and reads it out to you.


Bible translation: THE HOLY BIBLE, NEW INTERNATIONAL VERSION®, NIV® Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.® Used by permission. All rights reserved worldwide.

The verse of the day is served via BibleGateway.com."
4.6,10 users,Arts & lifestyle,Quotes & Facts,English King,"Quotes & Facts will help you relax and boost up your knowledge by motivational quotes and interesting facts respectively. Just that much will help you get in the world which is in need for you. Why wait then? Just start off and release your stress. This is not just a stop, we will add more features soon. Thank You"
5.0,3 users,Arts & lifestyle,Buddha Says,Agrahyah Technologies,"Speaking Buddha is an audio library of Buddhist preaching. Buddhist sermons are such simple and enlightening that one does not need to be a Buddhist. The preachings create a positive vibe and energy in people who listen to them, and encourage them to lead a better life and do good deeds.

Some feel good Buddhist preachings on the Speaking Buddha are:

·       We ordinary people can see neither our own eyelashes, which are so close, nor the heavens in the distance. Likewise, we do not see that the Buddha exists in our own hearts.

·       If the minds of living beings are impure, their land is also impure, but if their minds are pure, so is their land. There are not two lands, pure or impure in themselves. The difference lies solely in the good or evil of our minds.

·       Suffer what there is to suffer, enjoy what there is to enjoy. Regard both suffering and joy as facts of life, and continue chanting Nam Myoho Renge Kyo, no matter what happens. How could this be anything other than the boundless joy of the Law?

·       Your practice of the Buddhist teachings will not relieve you of the sufferings of birth and death in the least unless you perceive the true nature of your life. If you seek enlightenment outside yourself, then your performing even ten thousand practices and ten thousand good deeds will be in vain.

·       Just as cherry, plum, peach and damson blossoms all possess their own unique qualities, each person is unique. We cannot become someone else. The important thing is that we live true to ourselves and cause the great flower of our lives to blossom.

·       Before comparing yourself with others, win the battle with yourself. Strive to be better today than yesterday, and better tomorrow than today."
1.6,9 users,Arts & lifestyle,Eastview Christian Church,,Christ-following changes us to look like Jesus and is a lifelong journey.  We encourage you to find a consistent time daily for scripture intake and prayer.  The Eastview Christian Church skill reads the Verse of the Day and Daily Devotion written thoughtfully by our pastors to deepen your walk with Jesus while challenging you to love ridiculously and witness dangerously.
5.0,3 users,Arts & lifestyle,Great Quotes,AndroidBot Studio,Great Quotes helps you to find great wisdom just a voice command away ! It has featured quotes by Swami Vivekananda and other great personalities like Walt Disney etc.
1.0,2 users,Arts & lifestyle,Steven Wynn Quotes,,Gives a collection of quotes from Steven Wynn.
0.0,0 users,Arts & lifestyle,Be Inspired,Hunar Batra,"We all need a little inspiration at different points in our lives - to lift us up from routine, help us meet life's challenges and push us towards our potential.

Inspiration can give us vision - opening windows to new possibilities: what we can do with our lives. It is a lens that transforms what we see in the mirror, in the face of another and our perspective of the future."
0.0,0 users,Arts & lifestyle,Music Quotes,,"Music is everything, lets find some quotes related to music"
