Rating,Users,Field,Action,Developer,Description
4.2,547 users,Arts & lifestyle,Michael Saying No,,"This action is the perfect way to say no to somebody, by having Michael Scott from the office do it for you. Call upon it whenever you need to get the point across that the answer is no.

*This is action is in no way affiliated with the office nor its recording studio."
0.0,0 users,Arts & lifestyle,Master of Rhymes,,Master of Rhymes helps you find words that rhyme or have similar meaning.
3.6,28 users,Arts & lifestyle,Smart city of Aragon,BrontApps,"Ask anything to Smart Huesca:
 - Discover events and news in real-time.
 - Search and get info about places such as parks, restaurants, shops...
 - Get waiting times for a bus stop or call a taxi.
 - And way more things..."
3.9,11 users,Arts & lifestyle,The Wise Caterpillar,,"Ask The Caterpillar is a harm reduction assistant that allows people easy access to information about substances so that they can make informed choices. 

This smart assistant can provide you with accurate info about substance's effects, toxicity, dose information, purity testing, tolerance, safety, or drug interactions.


The philosophy behind it:
Harm Reduction is a philosophy that accepts that people will choose to use psychoactive substances and seeks to minimize any harms that may occur from those choices. Accurate information about the effects of substances, effects of different doses, and interactions with other substances is an essential part of making informed choices about substance use. Many people find themselves using substances in situations in which researching things on the internet may be the last thing on their minds. The hope of Ask The Caterpillar is that providing people with multiple ways of easily accessing substance information by texting a quick question will increase the likelihood of making an informed choice.

Other channels:
You can talk to The Caterpillar using different channels like for example messenger, slack, SMS (US only) and Telegram. Find out more on
https://www.askthecaterpillar.com

Credits:
I made this Google Assistant as my contribution to the project Ask The Caterpillar, which was created by Eric Stiens (@mutualarising). I used his Ask The Caterpillar API, and he used TripSit and PsychonautWiki APIs :)

DISCLAIMER:
The provides information about psychoactive substances. According to Google Policies content of this nature may be considered inappropriate for general audience. The information provided by the app is not a substitute for advice from a medical professional."
0.0,0 users,Business & finance,Surabi Bullion,Nestweaver Technologies services,"Welcome to Surabi Bullion B2B application in this skill we bring you Coimbatore Gold Bullion and international gold prices live.

The Surabi Bullion app will keep you updated on the Coimbatore Bullion prices, International gold prices per ounce and London price fixes."
4.1,10 users,Arts & lifestyle,sadhguru message,sachin nelwade,"With Sadhguru message you can explore Sadhguru’s wisdom on a wide variety of topics, including health, relationships, meditation, success, yoga and more!   new talks will be uploaded ! 

If you like the app please give us a five star rating."
3.7,26 users,Arts & lifestyle,TarooMe,Mehul Kumar Nirala,"Taroo Me gets daily, weekly, monthly horoscope for you. Just plug in your zodiac sign."
3.9,116 users,Arts & lifestyle,Horoscope TV,Horoscope TV,"With this free horoscope application you'll have access to daily horoscopes, love horoscopes, work horoscopes & Chinese astrology.  Available for the current, next and previous days.  Don't know your western or Chinese zodiac sign?  Find out by asking: ask Daily Horoscopes what is my zodiac sign?"
2.1,18 users,Arts & lifestyle,CulturalERICA,eHERITAGE H2020,Cool Erica helps you find out stuff about Europe's cultural heritage
4.2,193 users,Arts & lifestyle,Star Horoscope,Starbutter AI,"Star Horoscope uses modern astrological techniques to produce precise readings.  Our AI reader Zora gives fun and positive advice about your relationships, career, finances, health and almost every area of your life. She also learns what you care about over time and gives you customized feedback for Gemini horoscopes or today's zodiac for Pisces.

No matter what part of your future you're curious about, or if you're a Libra, Aries, Scorpio, or Cancer, we've got your back. We believe horoscopes are a meaningful form of communication that makes people feel a sense of purpose and validation.

This AI assistant is constantly searching for thousands of quotes with deep and rich meanings, with new quotes served every day!

EXAMPLES
Ways you can talk to Star Horoscope:
""OK Google, give me a Libra horoscope""
""OK Google, Horoscope for Aries.""
""OK Google, I want a Daily Reading.""
""OK Google, Capricorn Zodiac.""

TECHNOLOGY
Introducing Zora of Star Horoscope - an interactive, conversational agent.  Unlike dumb bots based on rules, Star Horoscope has a sophisticated natural language processing and machine learning core.  She learns and gets better over time, helping target inspirational star wisdom for you.

COMPANY 
Star Horoscope is built by Starbutter AI, the world's expert on interactive conversational agents.
www.starbutter.com"
0.0,0 users,Arts & lifestyle,Westminster Catechism,jdanielcook,"Man's chief end is to glorify God, and to enjoy him forever. We hope this tool will help you memorize theological truths so that you may fulfill your chief end. The Westminster Catechism was completed in 1647 and provides a simple question and answer format to learn biblical truths."
4.2,104 users,Arts & lifestyle,Dress Right,Andrew Van Haasteren,"Get outfit ideas based on local weather conditions. Never get caught in the rain again!

**What's New** -- Outfit Photos -- Explore Similar Items -- Product Links

**Coming Soon** -- Work Outfits -- Add to Routines

Weather forecasts powered by Dark Sky"
2.5,4 users,Arts & lifestyle,Thrilling Travel,ThrillingTravel,"Travel recommendation are based on your context and requirement. It can also give you information about cities and various types of destinations such as heritage, culture, beach etc.."
3.9,7 users,Arts & lifestyle,Mr. Spring,Botdreams,"Mr. Spring is the official virtual butler of Spring Hotels. Currently, it can help you achieve the best experience during your stay in Spring Hotel Vulcano, located in Tenerife, Canary Islands. It helps you find the best experiences in our Spa & Thalasso center; it can answer many of your questions about the hotel and your stay; and can help you adapt the light and music ambience in your room during your stay."
4.6,13 users,Arts & lifestyle,Bed Bath and Beyond tip of the day,Bed Bath and Beyond,"Get your daily dose of little life-changers from Bed Bath & Beyond! We’re serving up genius hacks, fun facts, and clever shortcuts to make your everyday easier—plus smart tips, expert tricks and all the best product picks for your whole house, top to bottom."
5.0,1 users,Arts & lifestyle,The Arizona Daily Star,,"Get the weather in Tucson, latest news briefs from the Arizona Daily Star, and check the Tucson Classifieds."
3.0,6 users,Arts & lifestyle,Chicago Code Camp,Chicago Code Camp,"Chicago Code Camp is a daylong polyglot developer conference hosted for the local and regional developer community.

The Chicago Code Camp assistant is here to help with any information you need about this year's CCC!  Ask about the keynote, food, and even the lovely volunteers."
3.0,6 users,Arts & lifestyle,Jackson Locals,Jackson Locals,Jackson Locals provides current information for the Jackson Hole region.
5.0,6 users,Arts & lifestyle,GDG Philippines,Jomar Tigcal,Official Google Assistant App for the Google Developers Group (GDG) Philippines community. You can ask it about the upcoming events and more information about GDG Philippines.
4.3,31 users,Arts & lifestyle,Island Echo,Xevio,"The Island Echo's Google Assistant companion app. Headlines straight from the Isle of Wight's only 24 hour breaking news source, delivering all the latest news and information from across the island.
IslandEcho.co.uk for more details."
5.0,3 users,Arts & lifestyle,360Wichita,360Wichita,"Find things to do in Wichita, Kansas. Events, restaurants, businesses and more."
1.7,6 users,Arts & lifestyle,Arroyo Seco Weekend,AEG Presents,An informational assistant that can answer questions about the Arroyo Seco Weekend Festival
3.0,2 users,Business & finance,Bill Tracker,"Sophtron, Inc.","Bill Tracker lets you check any account's pending balance and payment due date. Account types include but not limited to: utility, internet, phone, medical and other bill payment accounts. Simply ask Bill Tracker and stay on top of your bills."
3.5,2 users,Business & finance,Flex PowerPlay,Flex,Learn more about your Flex PowerPlay
3.2,34 users,Business & finance,Fit For Life,,"No sign up fees. No annual fees. No cancellation fees. No processing fees. No initial key card fees. 
$29 total (including taxes) per month.

Fit For Life offers 15,000 sq ft of free weights, cable machines, cardio, fitness classes, lap pool, sauna, boxing, climbing wall tanning and more.
Our memberships are all inclusive. Included are 30+ classes per week: Pilates, Yoga, Boot Camp, Core, Stretching, Tai Chi, SilverSneakers, Aerobics, Dance, Step, Cycling, Intervals, Cardio, Trampolines, and more.
We carry a full line of supplements, nutritional products, healthy snacks, meal replacement products, clothing, accessories,  and gift certificates at the lowest prices.
Personal Training is available for as little as $33 per session.
Our fully automated VersaSpa tanning system offers a UV free tan.
Members have 24 hour access to our facility.

First visit is FREE!"
0.0,0 users,Business & finance,ApproveSimple,"Capriza, Inc",Accelerate corporate decision-making by having all manager approval items accessible and easily available using Google Assistant.
